Home,Draw,Away,Score,Result,Source
2.38,3.4,3.15,3-1,1,Master archive
2.14,3.35,3.1,1-1,X,Master archive
2.65,3.45,2.75,2-1,1,Master archive
2.75,3.2,2.65,1-0,1,Master archive
2.85,3.3,2.6,0-4,2,Master archive
2.7,3.25,2.55,2-3,2,Master archive
2.75,3.3,2.55,0-1,2,Master archive
2.65,3.15,2.85,1-1,X,Master archive
2.5,3.15,2.8,1-1,X,Master archive
2.75,3.3,2.7,4-1,1,Master archive
2.7,3.15,2.9,1-1,X,Master archive
2.85,3.15,2.55,0-2,2,Master archive
2.65,3.3,2.8,1-2,2,Master archive
2.75,3.15,2.8,1-1,X,Master archive
2.55,3.15,2.65,2-0,1,Master archive
3.05,3.05,2.47,2-0,1,Master archive
2.37,3.05,3.05,3-1,1,Master archive
3.3,3.2,2.19,2-3,2,Master archive
2.45,3.05,3.1,1-1,X,Master archive
3.15,3.4,2.24,0-1,2,Master archive
3.1,3.2,2.35,1-2,2,Master archive
2.55,3.05,2.7,1-0,1,Master archive
2.6,3.05,2.8,0-0,X,Master archive
2.33,3.25,3.1,0-1,2,Master archive
3.3,3.35,2.19,2-1,1,Master archive
2.8,3,2.7,0-2,2,Master archive
2.5,3.15,2.85,2-0,1,Master archive
2.95,3.1,2.5,4-2,1,Master archive
2.8,3.05,2.8,0-0,X,Master archive
2.65,3.05,2.7,2-2,X,Master archive
2.5,3.1,2.95,1-5,2,Master archive
2.55,3.65,2.47,2-0,1,Master archive
2.34,3.95,2.85,0-2,2,Master archive
2.95,3.45,2.49,3-0,1,Master archive
1.81,4.1,4.1,4-0,1,Master archive
2.07,3.25,3.35,2-1,1,Master archive
3.4,3.2,2.11,1-3,2,Master archive
2.36,3.2,3.4,0-2,2,Master archive
2.8,3.1,2.6,1-1,X,Master archive
2.31,3.25,3.35,0-2,2,Master archive
2.48,3.35,3.05,0-3,2,Master archive
2.45,3.1,3.35,0-2,2,Master archive
2.85,3.05,2.85,1-2,2,Master archive
2.8,3,2.55,2-0,1,Master archive
2.38,3.25,3.05,0-0,X,Master archive
3.45,3,2.23,0-1,2,Master archive
3.3,3.2,2.2,4-1,1,Master archive
2.9,3.1,2.55,2-1,1,Master archive
2.65,3.15,2.75,0-2,2,Master archive
2.44,3.1,3.05,2-1,1,Master archive
2.43,3,3.15,2-3,2,Master archive
4.1,3.45,2.01,0-1,2,Master archive
2.23,3,3.45,0-1,2,Master archive
3,3.45,2.29,1-3,2,Master archive
2.06,3.35,3.3,1-2,2,Master archive
2.1,3.15,3.35,1-1,X,Master archive
2.24,3.45,3.3,2-0,1,Master archive
2.17,3.35,3.3,5-0,1,Master archive
2.1,3.4,3.15,1-0,1,Master archive
3.1,3.1,2.25,1-3,2,Master archive
3.05,3.35,2.17,0-2,2,Master archive
2.08,3.2,3.4,3-1,1,Master archive
2.6,3.1,2.75,0-3,2,Master archive
2.75,3.1,2.6,1-1,X,Master archive
2.8,3.3,2.5,1-0,1,Master archive
3.35,3.45,2.11,0-3,2,Master archive
3.1,4,2.19,1-2,2,Master archive
2.85,3,2.95,1-0,1,Master archive
2.75,3.2,2.85,2-2,X,Master archive
2.95,3.35,2.55,0-0,X,Master archive
2.65,2.7,3.1,3-0,1,Master archive
2.8,3,2.95,1-0,1,Master archive
3.15,2.9,2.7,2-0,1,Master archive
2.7,3.4,2.65,2-2,X,Master archive
2.27,3.3,3.15,0-2,2,Master archive
5.2,4.1,1.58,0-2,2,Master archive
5.6,4.2,1.56,1-2,2,Master archive
5.2,4,1.7,0-0,X,Master archive
2.43,3.3,3.15,2-3,2,Master archive
1.65,4.1,5.6,5-2,1,Master archive
1.48,4.3,5.8,3-1,1,Master archive
5.4,4.2,1.58,1-0,1,Master archive
2.02,3,4,2-0,1,Master archive
1.85,3.15,4.3,2-2,X,Master archive
1.77,3.85,4.7,2-0,1,Master archive
2.25,3.35,3.15,0-1,2,Master archive
2.26,3.4,3.1,5-0,1,Master archive
2.33,3.5,3.15,2-1,1,Master archive
3.2,3.55,2.3,0-1,2,Master archive
3.15,4.2,2.06,5-0,1,Master archive
6.6,4.4,1.43,1-5,2,Master archive
5.6,4.5,1.52,1-1,X,Master archive
1.45,4.6,5.8,2-2,X,Master archive
2.27,3.4,3.25,2-0,1,Master archive
2.28,3.55,3.1,3-0,1,Master archive
1.64,3.95,5.6,3-0,1,Master archive
2,3.35,4.1,3-0,1,Master archive
2.29,3.15,3.6,1-1,X,Master archive
3.7,3.3,2.19,1-3,2,Master archive
2.24,3.35,3.45,3-0,1,Master archive
6.4,3.8,1.56,0-0,X,Master archive
2.23,3.4,3.15,0-1,2,Master archive
6.2,3.8,1.57,0-1,2,Master archive
1.49,4.4,6.2,1-0,1,Master archive
2.55,3.3,2.7,0-1,2,Master archive
2.28,4.1,2.65,1-0,1,Master archive
2.44,3.6,2.85,3-2,1,Master archive
2.7,3.15,2.47,0-2,2,Master archive
2.39,3.65,2.5,1-1,X,Master archive
2.09,3.05,3.8,0-2,2,Master archive
3.15,2.7,2.6,0-0,X,Master archive
2.14,3.1,3.6,3-1,1,Master archive
1.85,3.1,4.1,0-0,X,Master archive
2.55,3.25,2.65,1-1,X,Master archive
3.25,3.05,2.31,3-1,1,Master archive
2.7,3.25,2.55,1-0,1,Master archive
2.75,3.25,2.55,1-0,1,Master archive
2.55,3.05,2.7,1-3,2,Master archive
1.63,3.9,4.8,1-1,X,Earlier JPG study
1.42,5,6,6-1,1,Earlier JPG study
1.6,3.85,5,1-0,1,Earlier JPG study
1.47,4.6,5.4,5-0,1,Earlier JPG study
3.1,3.8,2.24,0-1,2,Earlier JPG study
4,3.9,1.92,0-5,2,Earlier JPG study
1.95,3.6,4.2,1-0,1,Earlier JPG study
5.2,4.1,1.7,3-2,1,Earlier JPG study
4.9,4.3,1.68,2-2,X,Earlier JPG study
3.3,3.75,2.17,0-3,2,Earlier JPG study
1.75,3.75,5.2,1-1,X,Earlier JPG study
3.55,3.7,2.05,0-1,2,Earlier JPG study
1.48,4.1,5.8,1-0,1,Earlier JPG study
2.55,3.7,2.6,3-0,1,Earlier JPG study
2.8,3.1,2.8,3-2,1,Earlier JPG study
1.56,4.8,4.9,0-0,X,Earlier JPG study
1.62,4.1,4.7,2-3,2,Earlier JPG study
2.2,3.5,3.35,1-1,X,Earlier JPG study
1.54,5.4,4.3,5-1,1,Earlier JPG study
1.67,4.4,4.1,4-1,1,Earlier JPG study
2.6,2.95,3.25,1-1,X,Earlier JPG study
3.45,3.9,1.94,2-1,1,Earlier JPG study
1.86,3.2,4.3,0-0,X,Earlier JPG study
2.75,3.05,2.55,1-2,2,Earlier JPG study
2.03,3.3,3.5,1-1,X,Earlier JPG study
1.88,3.95,3.75,2-0,1,Earlier JPG study
5.2,3.95,1.61,0-2,2,Earlier JPG study
2.5,3.75,2.5,2-1,1,Earlier JPG study
2.11,3.85,3.1,2-4,2,Earlier JPG study
2.19,3.55,3.1,2-0,1,Earlier JPG study
3.5,3.85,2.03,2-0,1,Earlier JPG study
2.5,3.8,2.65,2-1,1,Earlier JPG study
1.59,3.95,5.2,2-0,1,Earlier JPG study
1.73,3.9,5.2,1-2,2,Earlier JPG study
2.33,3.6,3.1,4-1,1,Earlier JPG study
2,3.95,3.6,1-2,2,Earlier JPG study
3,3.5,2.22,1-3,2,Earlier JPG study
3.2,3.6,2.08,0-4,2,Earlier JPG study
1.89,3.45,3.95,1-2,2,Earlier JPG study
2.75,3.25,2.75,3-3,X,Earlier JPG study
3.8,3.65,1.88,0-4,2,Earlier JPG study
1.86,3.4,4.2,3-1,1,Earlier JPG study
2.09,3.65,3.15,4-1,1,Earlier JPG study
1.63,3.65,4.9,4-0,1,Earlier JPG study
3.85,3.35,1.99,3-0,1,Earlier JPG study
2.4,3.55,2.8,0-2,2,Earlier JPG study
2.8,3.75,2.3,0-4,2,Earlier JPG study
2.5,3.1,2.8,,2,Original seed archive
2.85,3.2,2.5,,2,Original seed archive
2.6,3.15,2.8,,1,Original seed archive
2.55,3.4,2.55,,1,Original seed archive
2.55,3.45,2.85,,2,Original seed archive
2.65,3.35,2.8,,1,Original seed archive
2.65,3.3,2.65,,2,Original seed archive
2.5,3.15,2.7,,1,Original seed archive
2.75,3.35,2.75,,X,Original seed archive
2.6,3.45,2.6,,2,Original seed archive
2.65,3.4,2.65,,1,Original seed archive
2.55,3.4,2.75,,X,Original seed archive
2.05,3.6,2.05,,2,Original seed archive
3.55,3.75,2.15,,1,Original seed archive
2,3.55,2.35,,2,Original seed archive
1.96,3.6,3.55,,1,Original seed archive
1.77,3.8,4.7,,2,Original seed archive
2.1,3.5,3.5,,1,Original seed archive
2.6,3.55,2.7,,X,Original seed archive
2.7,3.35,2.75,,2,Original seed archive
2.16,3.75,2.95,,1,Original seed archive
2.4,3.25,3.25,,1,Original seed archive
2.21,3.3,3.3,,2,Original seed archive
2.04,3.4,3.65,,X,Original seed archive
1.95,3.35,4.3,,2,Original seed archive
1.78,3.75,4.5,,1,Original seed archive
4.3,3.6,1.82,,1,Original seed archive
3.5,3.15,2.12,,2,Original seed archive
2.7,3.3,2.7,,X,Original seed archive
2.9,3.1,2.55,,2,Original seed archive
2.6,3.15,2.6,,1,Original seed archive
2.9,3.35,2.55,,X,Original seed archive
2.55,3.2,2.55,,2,Original seed archive
2.6,3.1,2.7,,X,Original seed archive
2.55,3.45,2.55,,X,Original seed archive
2.65,3.3,2.65,,1,Original seed archive
2.37,3.45,3.1,,1,Original seed archive
2.85,3.6,2.15,,X,Original seed archive
2.17,3.7,2.8,,1,Original seed archive
2.41,3.5,2.75,,2,Original seed archive
3.05,3.8,2.05,,2,Original seed archive
2.37,3.25,2.85,,X,Original seed archive
2.45,3.45,2.6,,2,Original seed archive
2.23,3.55,2.75,,1,Original seed archive
2.75,3.7,2.46,,X,Original seed archive
2.27,3,3.15,,1,Original seed archive
3.4,3.15,2.08,,2,Original seed archive
2.15,3,3.4,,1,Original seed archive
2.06,3.05,3.6,,2,Original seed archive
1.95,3.5,4.1,,X,Original seed archive
1.46,5,6.8,,1,Original seed archive
1.44,4.9,7.6,,2,Original seed archive
5.6,3.95,1.67,,2,Original seed archive
1.36,5.4,8.8,,1,Original seed archive
1.67,4.2,4.8,,X,Original seed archive
1.63,3.8,5.2,,2,Original seed archive
5.8,4.5,1.48,,2,Original seed archive
1.47,4.8,6.8,,1,Original seed archive
4.6,3.9,1.8,,2,Original seed archive
1.9,4.1,3.9,,X,Original seed archive
1.45,4.8,7.6,,1,Original seed archive
10,6.8,1.27,,2,Original seed archive
1.81,3.95,4.4,,1,Original seed archive
1.64,4.1,5.6,,X,Original seed archive
1.55,4.8,5.6,,2,Original seed archive
1.96,3.25,4.2,,1,Original seed archive
1.63,4,5.6,,X,Original seed archive
4.5,4.3,1.65,,1,Original seed archive
6.6,4.4,1.48,,2,Original seed archive
1.44,4.6,6.4,,1,Original seed archive
1.47,4.9,5.6,,2,Original seed archive
4.6,3.9,1.79,,2,Original seed archive
1.87,3,5.4,,X,Original seed archive
3.3,3.65,2.12,,2,Original seed archive
2.11,3.45,3.4,,X,Original seed archive
2.05,3.35,3.65,,1,Original seed archive
3.5,3.6,1.97,,2,Original seed archive
6.2,4.1,1.53,,X,Original seed archive
1.6,4.6,5,,1,Original seed archive
5.2,5,1.54,,2,Original seed archive
1.41,5,7.8,,1,Original seed archive
1.25,6.6,9.4,,X,Original seed archive
7,5.4,1.35,,X,Original seed archive
1.3,5.6,9,,1,Original seed archive
5.2,3.7,1.68,,2,Original seed archive
1.72,4,4.3,,2,Original seed archive
